sale_id,medicine,hospital,quantity,sales_value,year
132,Amoxicillin,Fortis,35,4231,2021
133,Ibuprofen,AIIMS,460,4942,2021
134,Paracetamol,AIIMS,63,4086,2021
135,Amoxicillin,Fortis,480,2186,2021
136,Aspirin,Apollo,351,2739,2021
137,Amoxicillin,AIIMS,141,3469,2021
138,Paracetamol,Narayana,425,4685,2021
139,Metformin,Fortis,165,2794,2021
140,Paracetamol,AIIMS,411,3178,2021
141,Aspirin,Narayana,335,2777,2021
142,Paracetamol,Fortis,247,4869,2021
143,Atorvastatin,Fortis,133,969,2021
144,Aspirin,AIIMS,456,2765,2021
145,Aspirin,Manipal,181,3952,2021
146,Atorvastatin,Medanta,330,1449,2021
147,Ibuprofen,Apollo,176,3397,2021
148,Amoxicillin,Apollo,295,1247,2021
149,Ibuprofen,Medanta,86,2437,2021
150,Paracetamol,Fortis,62,3394,2021
151,Ibuprofen,Fortis,306,954,2021
152,Aspirin,Narayana,279,802,2021
153,Amoxicillin,Manipal,232,1902,2021
154,Atorvastatin,Manipal,154,3106,2021
155,Amoxicillin,Narayana,391,3110,2021
156,Paracetamol,Manipal,454,4189,2021
157,Metformin,Medanta,235,4012,2021
158,Amoxicillin,Apollo,59,1757,2021
159,Aspirin,AIIMS,486,918,2021
160,Atorvastatin,Medanta,493,3690,2021
161,Aspirin,Fortis,61,1763,2021
162,Metformin,Apollo,310,3312,2021
163,Paracetamol,AIIMS,238,278,2021
164,Atorvastatin,Medanta,59,4249,2021
165,Amoxicillin,Narayana,382,3331,2021
166,Paracetamol,Apollo,336,1631,2021
167,Ibuprofen,Narayana,220,235,2021
168,Ibuprofen,Apollo,36,2733,2021
169,Metformin,Manipal,231,978,2021
170,Amoxicillin,Apollo,52,3208,2021
171,Paracetamol,Fortis,318,1470,2021
172,Metformin,Narayana,380,3163,2021
173,Atorvastatin,AIIMS,356,2713,2021
174,Amoxicillin,Fortis,118,2451,2021
175,Paracetamol,Apollo,59,2117,2021
176,Atorvastatin,AIIMS,52,793,2021
177,Amoxicillin,Fortis,49,2278,2021
178,Metformin,Narayana,492,1558,2021
179,Ibuprofen,Apollo,121,2311,2021
180,Paracetamol,AIIMS,139,866,2021
181,Paracetamol,Medanta,154,3710,2021
182,Atorvastatin,Manipal,469,3206,2021
183,Paracetamol,Manipal,23,1301,2021
184,Metformin,AIIMS,479,2736,2021
185,Amoxicillin,Narayana,289,509,2021
186,Atorvastatin,Manipal,14,3687,2021
187,Ibuprofen,Medanta,267,4321,2021
188,Aspirin,Apollo,364,769,2021
189,Paracetamol,AIIMS,422,4906,2021
190,Metformin,Narayana,20,4320,2021
191,Amoxicillin,Apollo,355,3337,2021
192,Paracetamol,Fortis,95,3552,2021
193,Atorvastatin,Manipal,473,1440,2021
194,Ibuprofen,Manipal,268,2486,2021
195,Ibuprofen,Manipal,198,3886,2021
196,Amoxicillin,Manipal,32,1278,2021
197,Atorvastatin,Medanta,301,4460,2021
198,Amoxicillin,AIIMS,381,364,2021
199,Atorvastatin,Apollo,358,4288,2021
200,Metformin,Manipal,221,3730,2021
201,Paracetamol,AIIMS,169,2177,2021
202,Aspirin,Medanta,376,512,2021
203,Amoxicillin,Narayana,466,3885,2021
204,Ibuprofen,Medanta,79,1273,2021
205,Atorvastatin,AIIMS,246,2004,2021
206,Aspirin,Medanta,320,1079,2021
207,Amoxicillin,Medanta,148,631,2021
208,Aspirin,Narayana,394,3856,2021
209,Paracetamol,Apollo,244,305,2021
210,Paracetamol,Apollo,154,1083,2021
211,Paracetamol,Medanta,450,3484,2021
212,Ibuprofen,Medanta,433,2409,2021
213,Amoxicillin,Manipal,339,1333,2021
214,Atorvastatin,Manipal,232,754,2021
215,Metformin,Medanta,349,4176,2021
216,Aspirin,Manipal,471,3768,2021
217,Metformin,AIIMS,442,674,2021
218,Amoxicillin,AIIMS,44,4765,2021
219,Atorvastatin,Medanta,488,2094,2021
220,Aspirin,Fortis,354,2840,2021
221,Amoxicillin,Manipal,202,2067,2021
222,Ibuprofen,AIIMS,302,3135,2021
223,Paracetamol,Apollo,336,2840,2021
224,Metformin,AIIMS,134,1419,2021
225,Atorvastatin,AIIMS,285,4541,2021
226,Paracetamol,AIIMS,445,963,2021
227,Paracetamol,Fortis,267,2061,2021
228,Amoxicillin,Fortis,159,4375,2021
229,Atorvastatin,AIIMS,199,4043,2021
230,Ibuprofen,Fortis,123,970,2021
231,Ibuprofen,Manipal,436,3935,2021
232,Amoxicillin,Fortis,243,1635,2021
233,Paracetamol,Apollo,172,2623,2021
234,Paracetamol,AIIMS,451,1280,2021
235,Aspirin,AIIMS,99,4082,2021
236,Ibuprofen,Manipal,177,2356,2021
237,Ibuprofen,Manipal,177,2666,2021
238,Atorvastatin,Fortis,429,544,2021
239,Ibuprofen,Medanta,216,3734,2021
240,Amoxicillin,Medanta,260,4197,2021
241,Metformin,Apollo,420,116,2021
242,Amoxicillin,Fortis,495,2868,2021
243,Aspirin,Narayana,488,3134,2021
244,Paracetamol,Medanta,120,156,2021
245,Ibuprofen,Apollo,165,1807,2021
246,Metformin,Narayana,353,2147,2021
247,Metformin,Manipal,359,1317,2021
248,Ibuprofen,Manipal,135,3819,2021
249,Metformin,Narayana,96,655,2021
250,Amoxicillin,Medanta,281,1472,2021
251,Ibuprofen,AIIMS,154,289,2021
252,Ibuprofen,Medanta,158,2766,2021
253,Amoxicillin,Fortis,14,3094,2021
254,Atorvastatin,Apollo,291,3595,2021
255,Metformin,Manipal,319,3178,2021
256,Paracetamol,Manipal,220,809,2021
257,Metformin,Medanta,127,1322,2021
258,Aspirin,Medanta,418,1345,2021
259,Ibuprofen,AIIMS,255,101,2021
260,Ibuprofen,Narayana,306,785,2021
261,Paracetamol,Manipal,404,473,2021
262,Paracetamol,Manipal,106,4418,2021
263,Amoxicillin,Narayana,406,1958,2021
264,Amoxicillin,AIIMS,234,3986,2021
265,Aspirin,Fortis,307,3723,2021
266,Amoxicillin,Apollo,352,3605,2021
267,Atorvastatin,Fortis,398,1124,2021
268,Amoxicillin,Medanta,212,3692,2021
269,Atorvastatin,AIIMS,223,2281,2021
270,Aspirin,Medanta,95,1744,2021
271,Paracetamol,AIIMS,102,804,2021
272,Metformin,AIIMS,237,4141,2021
273,Atorvastatin,Manipal,425,481,2021
274,Ibuprofen,AIIMS,435,1745,2021
275,Atorvastatin,Apollo,21,3306,2021
276,Amoxicillin,Manipal,213,3762,2021
277,Paracetamol,Manipal,101,3595,2021
278,Aspirin,Apollo,48,1861,2021
279,Metformin,Fortis,423,3276,2021
280,Atorvastatin,Fortis,353,1924,2021
281,Metformin,Manipal,188,2274,2021
282,Ibuprofen,AIIMS,389,4647,2021
283,Ibuprofen,Apollo,46,3564,2021
284,Paracetamol,Medanta,250,4837,2021
285,Atorvastatin,AIIMS,314,2068,2021
286,Aspirin,Fortis,409,4834,2021
287,Ibuprofen,Fortis,70,4446,2021
288,Aspirin,Narayana,174,574,2021
289,Metformin,Fortis,406,3839,2021
290,Atorvastatin,Narayana,331,634,2021
291,Aspirin,Medanta,242,693,2021
292,Aspirin,Narayana,355,2376,2021
293,Atorvastatin,AIIMS,67,2521,2021
294,Atorvastatin,Medanta,367,4985,2021
295,Metformin,Narayana,20,1041,2021
296,Amoxicillin,Medanta,38,1679,2021
297,Aspirin,Narayana,90,1983,2021
298,Atorvastatin,Apollo,149,414,2021
299,Ibuprofen,Apollo,497,1638,2021
300,Metformin,Manipal,188,2493,2021
301,Paracetamol,Manipal,419,2475,2021
302,Metformin,Narayana,370,4989,2021
303,Ibuprofen,Medanta,106,153,2021
304,Ibuprofen,Narayana,335,238,2021
305,Metformin,Narayana,98,947,2021
306,Atorvastatin,Manipal,154,2801,2021
307,Paracetamol,Narayana,483,1782,2021
308,Metformin,Medanta,387,772,2021
309,Paracetamol,Fortis,67,1752,2021
310,Metformin,Fortis,307,490,2021
311,Amoxicillin,Fortis,42,3803,2021
312,Ibuprofen,Medanta,371,1005,2021
313,Ibuprofen,Manipal,166,3819,2021
314,Ibuprofen,Manipal,164,3485,2021
315,Metformin,Fortis,102,3746,2021
316,Paracetamol,Apollo,443,806,2021
317,Aspirin,Medanta,415,4864,2021
318,Paracetamol,Narayana,400,3745,2021
319,Aspirin,AIIMS,471,3621,2021
320,Atorvastatin,AIIMS,77,3165,2021
321,Metformin,Narayana,195,1006,2021
322,Paracetamol,Medanta,299,3860,2021
323,Ibuprofen,Medanta,322,303,2021
324,Ibuprofen,Medanta,187,2114,2021
325,Metformin,Medanta,184,4824,2021
326,Aspirin,Apollo,82,4824,2021
327,Metformin,AIIMS,298,2386,2021
328,Atorvastatin,AIIMS,35,4324,2021
329,Metformin,Medanta,379,2083,2021
330,Metformin,Manipal,54,3457,2021
331,Atorvastatin,Medanta,422,4301,2021
332,Ibuprofen,Medanta,432,734,2021
333,Amoxicillin,Manipal,432,4217,2021
334,Aspirin,Narayana,29,2239,2021
335,Metformin,Medanta,343,402,2021
336,Amoxicillin,AIIMS,264,4197,2021
337,Amoxicillin,Manipal,222,3428,2021
338,Paracetamol,Fortis,222,4188,2021
339,Aspirin,Medanta,212,4874,2021
340,Paracetamol,Fortis,463,4205,2021
341,Amoxicillin,Fortis,168,1874,2021
342,Atorvastatin,AIIMS,170,4857,2021
343,Atorvastatin,Narayana,421,1991,2021
344,Ibuprofen,Medanta,300,3185,2021
345,Paracetamol,Narayana,74,4875,2021
346,Aspirin,Apollo,122,4645,2021
347,Amoxicillin,Fortis,478,508,2021
348,Atorvastatin,Fortis,314,1473,2021
349,Metformin,Manipal,437,2167,2021
350,Paracetamol,Medanta,483,1037,2021
351,Metformin,Narayana,40,3641,2021
352,Metformin,Narayana,381,2083,2021
353,Aspirin,Narayana,357,3717,2021
354,Aspirin,Manipal,69,1628,2021
355,Paracetamol,Fortis,363,117,2021
356,Ibuprofen,Apollo,269,1862,2021
357,Atorvastatin,Apollo,28,3229,2021
358,Aspirin,Fortis,340,4370,2021
359,Paracetamol,Medanta,439,3910,2021
360,Atorvastatin,Medanta,110,3498,2021
361,Aspirin,AIIMS,201,1624,2021
362,Amoxicillin,Apollo,375,409,2021
363,Ibuprofen,Narayana,481,2269,2021
364,Amoxicillin,Manipal,352,1397,2021
365,Amoxicillin,Fortis,89,3150,2021
366,Metformin,Narayana,467,2406,2021
367,Amoxicillin,Apollo,275,4866,2021
368,Metformin,Manipal,449,959,2021
369,Aspirin,Narayana,144,778,2021
370,Metformin,Medanta,397,4773,2021
371,Atorvastatin,Fortis,290,2479,2021
372,Paracetamol,Narayana,454,875,2021
373,Amoxicillin,AIIMS,317,3347,2021
374,Amoxicillin,Manipal,446,693,2021
375,Atorvastatin,AIIMS,404,333,2021
376,Aspirin,Apollo,231,3001,2021
377,Metformin,Fortis,96,3898,2021
378,Metformin,Fortis,396,1995,2021
379,Aspirin,Medanta,358,2706,2021
380,Atorvastatin,Fortis,376,2815,2021
381,Aspirin,Manipal,451,2029,2021
382,Metformin,Fortis,68,2344,2021
383,Metformin,Manipal,369,3355,2021
384,Ibuprofen,Fortis,496,2693,2021
385,Metformin,AIIMS,199,1817,2021
386,Amoxicillin,AIIMS,308,1960,2021
387,Atorvastatin,AIIMS,393,3737,2021
388,Aspirin,AIIMS,469,2950,2021
389,Metformin,Manipal,294,4015,2021
390,Atorvastatin,Fortis,56,1050,2021
391,Aspirin,Fortis,87,1313,2021
392,Paracetamol,Narayana,131,2040,2021
393,Aspirin,AIIMS,11,3304,2021
394,Aspirin,Apollo,413,4812,2021
395,Paracetamol,Fortis,192,4430,2021
396,Paracetamol,Narayana,192,2089,2021
397,Paracetamol,Medanta,107,385,2021
398,Atorvastatin,Fortis,289,1114,2021
399,Paracetamol,Manipal,305,4420,2021
400,Paracetamol,Fortis,215,345,2021
401,Amoxicillin,Fortis,282,2771,2021
402,Ibuprofen,Fortis,192,3253,2021
403,Metformin,Narayana,497,2920,2021
404,Atorvastatin,AIIMS,361,660,2021
405,Ibuprofen,Apollo,156,3554,2021
406,Aspirin,Manipal,429,3023,2021
407,Aspirin,Manipal,269,950,2021
408,Amoxicillin,Fortis,332,3678,2021
409,Atorvastatin,Manipal,66,550,2021
410,Atorvastatin,Narayana,248,4714,2021
411,Paracetamol,AIIMS,272,3771,2021
412,Atorvastatin,Apollo,385,583,2021
413,Atorvastatin,Apollo,384,2698,2021
414,Metformin,Apollo,344,1343,2021
415,Aspirin,Medanta,274,1118,2021
416,Ibuprofen,Apollo,74,2995,2021
417,Metformin,Narayana,424,4322,2021
418,Amoxicillin,Medanta,102,2392,2021
419,Atorvastatin,AIIMS,30,4974,2021
420,Metformin,Narayana,306,2816,2021
421,Aspirin,Apollo,468,1149,2021
422,Aspirin,Fortis,295,194,2021
423,Ibuprofen,Manipal,371,1314,2021
424,Paracetamol,AIIMS,173,2466,2021
425,Atorvastatin,Narayana,99,3028,2021
426,Amoxicillin,Fortis,108,2331,2021
427,Aspirin,Narayana,429,2820,2021
428,Ibuprofen,Apollo,490,1190,2021
429,Atorvastatin,AIIMS,151,3993,2021
430,Aspirin,Fortis,84,3033,2021
431,Metformin,Manipal,265,4828,2021
432,Atorvastatin,Apollo,183,988,2021
433,Paracetamol,Medanta,16,2682,2021
434,Amoxicillin,Fortis,352,1346,2021
435,Atorvastatin,Medanta,71,2911,2021
436,Amoxicillin,AIIMS,415,4904,2021
437,Amoxicillin,Fortis,227,3366,2021
438,Ibuprofen,Narayana,460,1970,2021
439,Amoxicillin,Medanta,459,1049,2021
440,Aspirin,Apollo,245,2778,2021
441,Ibuprofen,Manipal,434,613,2021
442,Atorvastatin,Narayana,493,4065,2021
443,Paracetamol,AIIMS,173,3972,2021
444,Aspirin,Apollo,44,2717,2021
445,Atorvastatin,Medanta,496,1286,2021
446,Metformin,Narayana,95,3958,2021
447,Metformin,Manipal,255,4955,2021
448,Aspirin,Apollo,315,565,2021
449,Aspirin,Manipal,496,3662,2021
450,Atorvastatin,AIIMS,135,4445,2021
451,Aspirin,Fortis,60,1696,2021
452,Aspirin,Manipal,392,1012,2021
453,Metformin,Manipal,48,2266,2021
454,Amoxicillin,Manipal,134,400,2021
455,Metformin,AIIMS,324,2490,2021
456,Metformin,Manipal,164,3550,2021
457,Aspirin,Narayana,196,2150,2021
458,Metformin,Manipal,175,3083,2021
459,Aspirin,Narayana,194,1517,2021
460,Atorvastatin,Apollo,302,3164,2021
461,Amoxicillin,Medanta,378,2720,2021
462,Amoxicillin,Medanta,100,787,2021
463,Metformin,AIIMS,231,3313,2021
464,Amoxicillin,Medanta,173,1976,2021
465,Aspirin,Narayana,78,1698,2021
466,Ibuprofen,Manipal,342,1427,2021
467,Paracetamol,Medanta,153,2976,2021
468,Ibuprofen,Apollo,480,1334,2021
469,Amoxicillin,Fortis,364,732,2021
470,Amoxicillin,AIIMS,375,3583,2021
471,Ibuprofen,Apollo,127,3910,2021
472,Amoxicillin,Manipal,382,3502,2021
473,Aspirin,Fortis,475,691,2021
474,Paracetamol,Manipal,438,2782,2021
475,Paracetamol,Narayana,216,2213,2021
476,Atorvastatin,Manipal,167,3700,2021
477,Metformin,Narayana,413,2773,2021
478,Ibuprofen,Apollo,159,3351,2021
479,Ibuprofen,Fortis,427,666,2021
480,Ibuprofen,Apollo,480,2673,2021
481,Ibuprofen,Apollo,253,3187,2021
482,Atorvastatin,AIIMS,22,3215,2021
483,Metformin,AIIMS,414,1456,2021
484,Paracetamol,Fortis,395,4034,2021
485,Ibuprofen,Narayana,20,2645,2021
486,Ibuprofen,Narayana,179,990,2021
487,Ibuprofen,Medanta,300,1476,2021
488,Aspirin,Medanta,301,3227,2021
489,Amoxicillin,Apollo,152,3093,2021
490,Metformin,Narayana,424,3311,2021
491,Metformin,Medanta,44,3743,2021
492,Amoxicillin,Medanta,465,778,2021
493,Amoxicillin,Manipal,335,3411,2021
494,Paracetamol,Fortis,424,2524,2021
495,Amoxicillin,Medanta,52,4440,2021
496,Metformin,Fortis,244,4083,2021
497,Atorvastatin,Fortis,100,4798,2021
498,Metformin,Narayana,417,1879,2021
499,Ibuprofen,Fortis,473,2188,2021
500,Aspirin,Fortis,336,4364,2021
501,Paracetamol,Apollo,227,3247,2021
502,Amoxicillin,Narayana,271,2064,2021
503,Atorvastatin,Fortis,171,751,2021
504,Metformin,Apollo,349,3223,2021
505,Paracetamol,AIIMS,61,3568,2021
506,Paracetamol,Medanta,171,581,2021
507,Amoxicillin,Medanta,166,1651,2021
508,Aspirin,Narayana,495,2900,2021
509,Paracetamol,Fortis,255,4579,2021
510,Ibuprofen,Fortis,418,4142,2021
511,Atorvastatin,Narayana,87,3952,2021
512,Amoxicillin,Fortis,182,519,2021
513,Aspirin,Apollo,266,4713,2021
514,Amoxicillin,Medanta,388,1576,2021
515,Aspirin,Narayana,170,811,2021
516,Metformin,Manipal,496,3125,2021
517,Metformin,Manipal,358,1956,2021
518,Atorvastatin,Narayana,341,2608,2021
519,Metformin,Narayana,146,2801,2021
520,Amoxicillin,Manipal,158,1910,2021
521,Paracetamol,AIIMS,29,2573,2021
522,Aspirin,Fortis,201,1080,2021
523,Amoxicillin,Manipal,342,4237,2021
524,Metformin,Fortis,396,4312,2021
525,Atorvastatin,Fortis,313,4621,2021
526,Metformin,Manipal,394,3038,2021
527,Aspirin,Narayana,73,2731,2021
528,Amoxicillin,Medanta,294,425,2021
529,Paracetamol,AIIMS,463,1176,2021
530,Amoxicillin,Medanta,231,2391,2021
531,Aspirin,Narayana,253,3831,2021
532,Metformin,Manipal,73,246,2021
533,Paracetamol,Medanta,437,3656,2021
534,Atorvastatin,Narayana,412,158,2021
535,Atorvastatin,Apollo,57,1448,2021
536,Aspirin,Fortis,298,3478,2021
537,Aspirin,Fortis,254,442,2021
538,Amoxicillin,Apollo,29,317,2021
539,Paracetamol,Fortis,252,804,2021
540,Amoxicillin,AIIMS,377,943,2021
541,Atorvastatin,Manipal,145,4981,2021
542,Aspirin,Manipal,498,1105,2021
543,Aspirin,Narayana,411,4578,2021
544,Ibuprofen,Narayana,274,1755,2021
545,Aspirin,Narayana,345,1062,2021
546,Aspirin,Medanta,422,4841,2021
547,Aspirin,Fortis,388,3783,2021
548,Amoxicillin,Manipal,32,2060,2021
549,Aspirin,Apollo,471,3643,2021
550,Amoxicillin,Narayana,314,4186,2021
551,Metformin,Narayana,155,3081,2021
552,Atorvastatin,Fortis,408,2593,2021
553,Metformin,Medanta,58,4924,2021
554,Paracetamol,Apollo,433,510,2021
555,Aspirin,AIIMS,90,2518,2021
556,Paracetamol,Apollo,279,1664,2021
557,Ibuprofen,Medanta,329,4230,2021
558,Metformin,Narayana,275,1739,2021
559,Paracetamol,Manipal,449,1632,2021
560,Metformin,Narayana,225,238,2021
561,Aspirin,Narayana,184,178,2021
562,Paracetamol,Fortis,277,1923,2021
563,Aspirin,AIIMS,407,4413,2021
564,Aspirin,Fortis,417,1614,2021
565,Atorvastatin,Manipal,223,2606,2021
566,Ibuprofen,Medanta,131,3338,2021
567,Paracetamol,Medanta,254,3743,2021
568,Paracetamol,Apollo,253,2360,2021
569,Paracetamol,AIIMS,188,3718,2021
570,Metformin,Narayana,285,1017,2021
571,Paracetamol,Manipal,96,2116,2021
572,Aspirin,Manipal,17,1522,2021
573,Aspirin,Fortis,46,2949,2021
574,Aspirin,Fortis,110,668,2021
575,Paracetamol,Narayana,371,2081,2021
576,Aspirin,Apollo,180,4683,2021
577,Amoxicillin,Narayana,375,2860,2021
578,Atorvastatin,Manipal,344,136,2021
579,Paracetamol,Apollo,177,4761,2021
580,Metformin,Narayana,318,3243,2021
581,Atorvastatin,Manipal,315,4295,2021
582,Aspirin,Apollo,85,2084,2021
583,Aspirin,AIIMS,320,3252,2021
584,Metformin,Medanta,216,2365,2021
585,Metformin,AIIMS,478,4458,2021
586,Aspirin,Medanta,118,3159,2021
587,Metformin,Narayana,100,1507,2021
588,Metformin,Fortis,411,3461,2021
589,Amoxicillin,Fortis,185,1972,2021
590,Atorvastatin,Manipal,96,795,2021
591,Amoxicillin,Narayana,54,4539,2021
592,Atorvastatin,AIIMS,429,3206,2021
593,Atorvastatin,Manipal,195,3454,2021
594,Metformin,Apollo,406,4681,2021
595,Ibuprofen,AIIMS,258,2645,2021
596,Paracetamol,Fortis,310,3954,2021
597,Amoxicillin,Narayana,98,2386,2021
598,Amoxicillin,Narayana,178,4418,2021
599,Atorvastatin,Medanta,298,906,2021
600,Atorvastatin,Apollo,98,1711,2021
601,Metformin,AIIMS,159,3516,2021
602,Ibuprofen,Medanta,164,1531,2021
603,Paracetamol,Fortis,358,4681,2021
604,Aspirin,Narayana,261,3261,2021
605,Amoxicillin,Apollo,256,3645,2021
606,Aspirin,Medanta,238,3196,2021
607,Amoxicillin,Medanta,395,1412,2021
608,Paracetamol,Narayana,342,3736,2021
609,Ibuprofen,Fortis,409,1127,2021
610,Amoxicillin,Medanta,440,4949,2021
611,Aspirin,Apollo,279,2234,2021
612,Ibuprofen,Narayana,499,489,2021
613,Atorvastatin,Medanta,131,2838,2021
614,Atorvastatin,AIIMS,359,4915,2021
615,Paracetamol,Fortis,133,4837,2021
616,Aspirin,AIIMS,303,273,2021
617,Ibuprofen,Medanta,481,4487,2021
618,Metformin,Apollo,496,869,2021
619,Aspirin,AIIMS,498,408,2021
620,Amoxicillin,Medanta,446,3822,2021
621,Amoxicillin,Manipal,450,4540,2021
622,Paracetamol,AIIMS,343,2141,2021
623,Atorvastatin,Fortis,73,3553,2021
624,Metformin,Manipal,97,790,2021
625,Aspirin,Manipal,366,1827,2021
626,Amoxicillin,Manipal,472,3794,2021
627,Amoxicillin,Apollo,342,197,2021
628,Metformin,Fortis,410,1488,2021
629,Metformin,Narayana,65,715,2021
630,Metformin,Fortis,80,3299,2021
631,Aspirin,Fortis,249,933,2021
632,Aspirin,Narayana,488,4452,2021
633,Aspirin,Narayana,220,1503,2021
634,Metformin,Narayana,95,1867,2021
635,Metformin,Apollo,69,1484,2021
636,Ibuprofen,AIIMS,222,1990,2021
637,Metformin,Fortis,402,3480,2021
